REGION_NUM,REGION_NAME,FOREST_NAME,DISTRICT_NAME,CITY,STATE,LOCATION,MODULES,HOUSING,NOTES,FOREST_URL
6,Pacific Northwest,WILLAMETTE,MCKENZIE RIVER,MCKENZIE BRIDGE,OREGON,"MCKENZIE BRIDGE, OREGON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person) ",YES,They have had a fuels crew in the past off and on,http://www.fs.usda.gov/willamette
2,Rocky Mountain,WHITE RIVER,BLANCO,MEEKER,COLORADO,"MEEKER, COLORADO",,,,http://www.fs.usda.gov/whiteriver
5,Pacific Southwest,SAN BERNARDINO,FRONT COUNTRY,MENTONE,CALIFORNIA,"MENTONE, CALIFORNIA","Engine, Hotshot Crew, DOZER",YES,,http://www.fs.usda.gov/sbnf/
3,Southwestern,TONTO,MESA,MESA,ARIZONA,"MESA, ARIZONA",,,,https://www.fs.usda.gov/tonto/
6,Pacific Northwest,COLVILLE,SULLIVAN LAKE,METALINE FALLS,WASHINGTON,"METALINE FALLS, WASHINGTON",IA Crew/Squad (4-10 person),YES,,http://www.fs.usda.gov/colville
3,Southwestern,GILA,WILDERNESS,MIMBRES,NEW MEXICO,"MIMBRES, NEW MEXICO","Engine, IA Crew/Squad (4-10 person)",YES,,https://www.fs.usda.gov/gila/
2,Rocky Mountain,WHITE RIVER,HOLY CROSS,MINTURN,COLORADO,"MINTURN, COLORADO",,,,http://www.fs.usda.gov/whiteriver
1,Northern,LOLO,MISSOULA,MISSOULA,MONTANA,"MISSOULA, MONTANA","Engine, Type 2/2IA Handcrew (Dedicated 20+person), IA Crew/Squad (4-10 person), Hotshot Crew, WFM, Helitack, Rappel, Fuels, Prevention",YES,,http://www.fs.usda.gov/lolo
5,Pacific Southwest,STANISLAUS,MIWOK,MI-WUK VILLAGE,CALIFORNIA,"MI-WUK VILLAGE, CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/stanislaus/
4,Intermountain,MANTI-LASAL,MOAB,MOAB,UTAH,"MOAB, UTAH","Engine, Fuels",NO,,http://www.fs.usda.gov/mantilasal
4,Intermountain,MANTI-LASAL,MONTICELLO,MONTICELLO,UTAH,"MONTICELLO, UTAH","Engine, WFM",YES,,http://www.fs.usda.gov/mantilasal
4,Intermountain,CARIBOU-TARGHEE,MONTPELIER,MONTPELIER,IDAHO,"MONTPELIER, IDAHO",Engine,YES,,http://www.fs.usda.gov/ctnf
4,Intermountain,CARIBOU-TARGHEE,SODA SPRINGS,MONTPELIER,IDAHO,"MONTPELIER, IDAHO",,,,http://www.fs.usda.gov/ctnf
2,Rocky Mountain,"GRAND MESA, UNCOMPAHGRE AND GUNNISON",OURAY,MONTROSE,COLORADO,"MONTROSE, COLORADO",,,,http://www.fs.usda.gov/gmug
2,Rocky Mountain,PIKE AND SAN ISABEL,PIKES PEAK,MONUMENT,COLORADO,"MONUMENT, COLORADO","Hotshot Crew, Helitack",YES,,http://www.fs.usda.gov/psicc
1,Northern,NEZ PERCE-CLEARWATER,,MOOSE CREEK,IDAHO,"MOOSE CREEK, IDAHO","Engine, WFM",YES,,http://www.fs.usda.gov/nezperceclearwater/
4,Intermountain,BRIDGER-TETON,BLACK ROCK,MORAN,WYOMING,"MORAN, WYOMING",WFM,YES,,http://www.fs.usda.gov/btnf
3,Southwestern,COCONINO,FLAGSTAFF,MORMON LAKE,ARIZONA,"MORMON LAKE, ARIZONA",,,,https://www.fs.usda.gov/coconino
5,Pacific Southwest,SHASTA-TRINITY,MT. SHASTA,MOUNT SHASTA,CALIFORNIA,"MOUNT SHASTA, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
5,Pacific Southwest,SHASTA-TRINITY,MCCLOUD,MOUNTAIN GATE,CALIFORNIA,"MOUNTAIN GATE, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
4,Intermountain,UINTA-WASATCH-CACHE,OGDEN,MOUNTAIN GREEN,UTAH,"MOUNTAIN GREEN, UTAH",Helitack,NO,,http://www.fs.usda.gov/uwcnf
4,Intermountain,BOISE,MOUNTAIN HOME,MOUNTAIN HOME,IDAHO,"MOUNTAIN HOME, IDAHO","Engine, IA Crew/Squad (4-10 person), Rappel, Prevention",YES,Bunkhouse is out at the helibase on Lucky Peak Reservoir ,http://www.fs.usda.gov/boise
4,Intermountain,UINTA-WASATCH-CACHE,EVANSTON-MOUNTAIN VIEW,MOUNTAIN VIEW,WYOMING,"MOUNTAIN VIEW, WYOMING",Engine,YES,,http://www.fs.usda.gov/uwcnf
3,Southwestern,CIBOLA,MOUNTAINAIR,MOUNTAINAIR,NEW MEXICO,"MOUNTAINAIR, NEW MEXICO",,,,https://www.fs.usda.gov/cibola
6,Pacific Northwest,OKANOGAN-WENATCHEE,NACHES,NACHES,WASHINGTON,"NACHES, WASHINGTON","Engine, Type 2/2IA Handcrew  (Dedicated 20+person)Prevention",YES,,http://www.fs.usda.gov/okawen
1,Northern,HELENA-LEWIS AND CLARK,BELT CREEK,NEIHART,MONTANA,"NEIHART, MONTANA",,,,http://www.fs.usda.gov/helena/
5,Pacific Southwest,TAHOE,NEVADA CITY,NEVADA CITY,CALIFORNIA,"NEVADA CITY, CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
4,Intermountain,PAYETTE,NEW MEADOWS,NEW MEADOWS,IDAHO,"NEW MEADOWS, IDAHO","Rappel, Engine",YES,,http://www.fs.usda.gov/payette
2,Rocky Mountain,BLACK HILLS,HELL CANYON,NEWCASTLE,WYOMING,"NEWCASTLE, WYOMING",,,,http://www.fs.usda.gov/blackhills
6,Pacific Northwest,COLVILLE,NEWPORT,NEWPORT,WASHINGTON,"NEWPORT, WASHINGTON",,,,http://www.fs.usda.gov/colville
1,Northern,LOLO,SUPERIOR,NINEMILE,MONTANA,"NINEMILE, MONTANA",Engine,NO,,http://www.fs.usda.gov/lolo
3,Southwestern,CORONADO,NOGALES,NOGALES,ARIZONA,"NOGALES, ARIZONA",,,,https://www.fs.usda.gov/coronado
6,Pacific Northwest,MT. BAKER-SNOQUALMIE,SNOQUALMIE,NORTH BEND,WASHINGTON,"NORTH BEND, WASHINGTON",Engine,YES,,http://www.fs.usda.gov/mbs
5,Pacific Southwest,SIERRA,BASS LAKE,NORTH FORK,CALIFORNIA,"NORTH FORK, CALIFORNIA",,,,http://www.fs.usda.gov/sierra/
4,Intermountain,SALMON AND CHALLIS,NORTH FORK,NORTH FORK,IDAHO,"NORTH FORK, IDAHO",,,,http://www.fs.usda.gov/scnf
2,Rocky Mountain,"GRAND MESA, UNCOMPAHGRE AND GUNNISON",NORWOOD,NORWOOD,COLORADO,"NORWOOD, COLORADO",,,,http://www.fs.usda.gov/gmug
5,Pacific Southwest,SIERRA,BASS LAKE,OAKHURST,CALIFORNIA,"OAKHURST, CALIFORNIA",Hotshot Crew,YES,,http://www.fs.usda.gov/sierra/
4,Intermountain,UINTA-WASATCH-CACHE,OGDEN,OGDEN,UTAH,"OGDEN, UTAH","Engine, Type 2/2IA Handcrew (Dedicated 20+person), Fuels",NO,,http://www.fs.usda.gov/uwcnf
5,Pacific Southwest,LOS PADRES,OJAI,OJAI,CALIFORNIA,"OJAI, CALIFORNIA",,,,http://www.fs.usda.gov/lpnf
5,Pacific Southwest,LASSEN,HAT CREEK,OLD STATION,CALIFORNIA,"OLD STATION, CALIFORNIA",,,,http://www.fs.usda.gov/lassen
5,Pacific Southwest,SIX RIVERS,ORLEANS,ORLEANS,CALIFORNIA,"ORLEANS, CALIFORNIA","Engine, WFM, Fuels, Prevention",YES,,http://www.fs.usda.gov/srnf/
1,Northern,NEZ PERCE-CLEARWATER,NORTH FORK,OROFINO,IDAHO,"OROFINO, IDAHO","Engine, IA Crew/Squad (4-10 person), Fuels",YES,,http://www.fs.usda.gov/nezperceclearwater/
5,Pacific Southwest,PLUMAS,FEATHER RIVER,OROVILLE,CALIFORNIA,"OROVILLE, CALIFORNIA","Engine, Hotshot Crew",YES,,http://www.fs.usda.gov/plumas/
3,Southwestern,APACHE-SITGREAVES,BLACK MESA,OVERGAARD,ARIZONA,"OVERGAARD, ARIZONA","Engine, IA Crew/Squad (4-10 person), Hotshot Crew, Prevention",YES,,https://www.fs.usda.gov/asnf
2,Rocky Mountain,SAN JUAN,PAGOSA,PAGOSA SPGS,COLORADO,"PAGOSA SPGS, COLORADO","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/sanjuan
6,Pacific Northwest,FREMONT-WINEMA,PAISLEY,PAISLEY,OREGON,"PAISLEY, OREGON",,,,http://www.fs.usda.gov/fremont-winema
5,Pacific Southwest,SAN BERNARDINO,SAN JACINTO,PALM DESERT,CALIFORNIA,"PALM DESERT, CALIFORNIA",,,,http://www.fs.usda.gov/sbnf/
4,Intermountain,DIXIE,POWELL,PANGUITCH,UTAH,"PANGUITCH, UTAH","Engine, IA Crew/Squad (4-10 person)",YES,,http://www.fs.usda.gov/dixie
2,Rocky Mountain,"GRAND MESA, UNCOMPAHGRE AND GUNNISON",PAONIA,PAONIA,COLORADO,"PAONIA, COLORADO",,,,http://www.fs.usda.gov/gmug
6,Pacific Northwest,MT. HOOD,HOOD RIVER,PARKDALE,OREGON,"PARKDALE, OREGON",,,,http://www.fs.usda.gov/mthood
5,Pacific Southwest,MENDOCINO,GRINDSTONE,PASKENTA,CALIFORNIA,"PASKENTA, CALIFORNIA",,,,http://www.fs.usda.gov/mendocino/
3,Southwestern,TONTO,PAYSON,PAYSON,ARIZONA,"PAYSON, ARIZONA","Engine, Hotshot Crew, Helitack, Fuels",NO,"At least for now, young is not staffed separately from Payson. Also, lakeside is Apache Sitgreaves ",https://www.fs.usda.gov/tonto/
3,Southwestern,SANTA FE,PECOS/LAS VEGAS,PECOS,NEW MEXICO,"PECOS, NEW MEXICO",,,,https://www.fs.usda.gov/santafe/
3,Southwestern,CARSON,CAMINO REAL,PENASCO,NEW MEXICO,"PENASCO, NEW MEXICO",,,,https://www.fs.usda.gov/carson
1,Northern,BEAVERHEAD-DEERLODGE,PINTLER,PHILIPSBURG,MONTANA,"PHILIPSBURG, MONTANA",Engine,YES,,http://www.fs.usda.gov/bdnf
5,Pacific Southwest,STANISLAUS,SUMMIT,PINECREST,CALIFORNIA,"PINECREST, CALIFORNIA",,,,http://www.fs.usda.gov/stanislaus/
5,Pacific Southwest,TAHOE,AMERICAN RIVER,PINECREST,CALIFORNIA,"PINECREST, CALIFORNIA",,,,https://www.fs.usda.gov/tahoe/
4,Intermountain,BRIDGER-TETON,BIG PINEY,PINEDALE,WYOMING,"PINEDALE, WYOMING",Engine,YES,,http://www.fs.usda.gov/btnf
5,Pacific Southwest,ELDORADO,AMADOR,PIONEER,CALIFORNIA,"PIONEER, CALIFORNIA",,,,http://www.fs.usda.gov/eldorado
1,Northern,LOLO,PLAINS/THOMPSON FALLS,PLAINS,MONTANA,"PLAINS, MONTANA","Engine, Hotshot Crew, Fuels",YES,,http://www.fs.usda.gov/lolo
5,Pacific Southwest,SHASTA-TRINITY,YOLLA BOLLA,PLATINA,CALIFORNIA,"PLATINA, CALIFORNIA",,,,http://www.fs.usda.gov/stnf/
